Institution,Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,availableYear,EndYear
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a7j-20130212,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it39w-20110220,0,0,0,0,0,0,0,1,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,attack-servpath-tcpsyn-20061106,0,0,2,2,0,0,0,0,0,0,0,0,2009,2020
University of Southern California-Information Sciences Institute,internet_address_history_it71w-20160803,0,0,0,0,0,0,0,0,0,0,0,1,2016,NULL
University of Southern California-Information Sciences Institute,internet_address_census_it70w-20160602,0,0,0,0,0,0,0,0,0,0,0,0,2016,NULL
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a15j-20131126,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,usc_lander_tcp_syns-20081010,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it33w-20100514,0,0,0,0,0,2,1,2,0,1,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_standing_c-20091102,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it63j-20150117,0,0,0,0,0,0,0,0,0,1,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_address_census_it48j-20120615,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,DoS_DNS_amplification-20130617,0,0,0,0,0,0,0,0,7,5,1,5,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it55j-20130820,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it62w-20141105,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a26w-20161001,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,DITL_B_Root-20150413,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a25all-20160701,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a19j-20150101,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
"Merit Network, Inc.",bgp-dumps,0,0,0,0,0,0,0,0,0,0,0,0,2005,2010
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a17c-20140701,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_address_hitlist_it51w-20121116,0,0,0,0,0,0,0,1,0,1,0,0,2013,2020
University of Southern California-Information Sciences Institute,geoloc_84_98_118-20120101,0,0,0,0,0,0,0,0,1,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it16w-20070214,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it51w-20121116,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_census_it35c-20100818,0,0,0,0,0,2,1,1,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it74w-20170222,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_address_census_it74j-20170222,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
International Computer Science Institute (ICSI),Netalyzr,0,0,0,0,0,0,0,0,0,0,0,0,2014,2015
Packet Clearing House,nota.woodynet.pch.net,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a12c-20130424,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Michigan,ims-mydoom_backdoor,1,0,2,2,0,4,2,1,0,0,0,0,2005,2020
University of Southern California-Information Sciences Institute,passive_active-20060919,0,0,0,0,0,0,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a20w-20150401,0,0,0,0,0,0,0,0,0,0,0,0,2016,2020
University of Southern California-Information Sciences Institute,internet_address_census_it52w-20130102,0,0,0,0,0,0,0,2,1,1,0,0,2013,2020
University of Michigan,ims-tcp42_wins,1,0,2,2,0,4,2,1,0,0,0,0,2005,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it65w-20150622,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
Colorado State University,IPReputationList,0,0,0,0,0,0,1,0,1,0,1,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,ITDK 2016-03,0,0,0,0,0,0,0,0,0,0,0,0,2017,NULL
Test Data Provider 3,Test Dataset 3 - Quasi-Restricted Commercial,0,0,0,0,0,0,0,0,0,0,0,0,2015,NULL
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it61c-20140918,0,0,0,0,0,0,0,0,0,0,0,0,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_icmp2-20031008,0,0,0,0,0,1,0,0,0,0,0,0,2012,2020
University of Southern California-Information Sciences Institute,internet_address_census_it64w-20150413,0,0,0,0,0,0,0,0,0,4,0,0,2015,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a27all-20170101,0,0,0,0,0,0,0,0,0,0,0,0,2017,2020
University of Southern California-Information Sciences Institute,internet_outage_adaptive_a15c-20131126,0,0,0,0,0,0,0,0,0,0,0,0,2015,2020
Colorado State University,FRGP_SSDP_Reflection_DDoS_Attack_Traffic-20140930,0,0,0,0,0,0,0,0,0,3,4,3,2014,2020
University of Southern California-Information Sciences Institute,internet_address_survey_reprobing_it25w-20090319,0,0,0,0,0,0,0,0,0,1,0,0,2012,2020
UCSD - Center for Applied Internet Data Analysis,ITDK 2013-07,0,0,0,0,0,0,0,0,0,0,0,0,2013,2020
University of Southern California-Information Sciences Institute,internet_address_survey_it20e-20080317,0,0,0,1,0,1,0,0,0,0,0,0,2012,2020
